,is_active,brand,piracy,A_true,A_true,A_true,A_true,A_true,A_false,A_false,A_false,A_false,A_false,internal_B_true,internal_B_true,internal_B_true,internal_B_true,internal_B_true,external_B_true,external_B_true,external_B_true,external_B_true,external_B_true,B_true,B_true,B_true,B_true,B_true,internal_C_true,internal_C_true,internal_C_true,internal_C_true,internal_C_true,external_C_true,external_C_true,external_C_true,external_C_true,external_C_true,C_true,C_true,C_true,C_true,C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,automatization_A,automatization_A,automatization_A,automatization_A,automatization_A,automatization_B,automatization_B,automatization_B,automatization_B,automatization_B,automatization_C,automatization_C,automatization_C,automatization_C,automatization_C
,unique,unique,unique,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4
contractid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,active,1,0,55.0,842.0,2193.5,4497.0,96160.0,0.0,0.0,55.5,3249.5,188528.0,0.0,413.0,1339.0,2797.25,58434.0,0.0,0.0,0.0,0.25,122.0,0.0,420.5,1369.5,2830.25,59109.0,0.0,233.0,1075.0,2394.25,48932.0,0.0,0.0,0.0,0.0,22.0,0.0,233.0,1076.0,2403.25,49055.0,0.0,0.0,0.006172839499999999,0.29431803562500003,15.2806387749,0.0,0.0,0.30598424405,2.202397677275,49.44630414059999,0.0,0.16354656970000003,2.61329946225,7.680452363575,140.27963877620002,0.0,157.75,501.0,1083.25,22820.0,0.0,81.25,293.5,739.25,16329.5,0.0,8.5,46.5,157.0,3991.0,0.0,553.25,2353.0,5545.5,108876.0,0.0,88.5,361.5,860.25,18676.0,0.0,55.5,222.0,585.75,13777.5,0.0,0.0,0.165,1.36,26.02,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,1.8750000000000004,6.460000000000001,12.2025,237.27
128,active,1,0,161.0,2902.5,10222.5,22782.0,499367.0,0.0,4.25,2808.5,61512.0,1583199.0,0.0,2440.0,7845.5,15931.75,314785.0,0.0,0.0,0.0,0.0,85.0,0.0,2440.0,7845.5,15994.75,315578.0,0.0,1408.0,3912.5,7992.25,168862.0,0.0,0.0,0.0,0.0,63.0,0.0,1410.0,3916.5,8029.25,169320.0,0.0,0.67149535515,3.0698089512000006,6.46379336715,125.20211514565,0.0,1.1313252038500001,4.7902124338,9.699658146050002,186.7362475417,0.0,2.1355700793250003,7.24870506495,13.649486938599999,265.28121505440004,0.0,106.25,349.0,721.5,14887.0,0.0,66.0,201.5,420.75,9337.5,0.0,4.75,18.5,54.5,1119.0,0.0,792.0,2721.5,5654.5,109139.0,0.0,81.0,263.5,551.5,11849.0,0.0,39.25,109.5,247.875,6157.5,0.0,0.0,0.08499999999999999,2.4124999999999996,55.07999999999999,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
129,inactive,1,0,2.0,23.0,79.0,223.0,4240.0,0.0,0.0,0.0,3.0,1590.0,0.0,0.0,8.0,73.0,1681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,73.0,1681.0,1.0,29.0,76.0,142.0,2739.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,76.0,142.0,2739.0,0.0,0.0,0.0,0.0,1.0259740259,0.0,0.0,0.0,0.0,3.779220779,0.0,0.0,0.0,0.0,6.3809523806,0.0,237.0,1071.0,2365.0,36218.0,0.0,237.0,1016.5,2310.0,36305.5,0.0,38.0,322.0,939.0,15130.0,0.0,332.0,1415.0,3181.0,49532.0,0.0,131.0,736.0,1823.0,27823.0,0.0,80.0,629.5,1724.5,26509.0,0.0,0.0,0.0,1.69,33.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,inactive,1,0,0.0,24.75,115.5,457.25,2947.0,0.0,0.0,8.5,192.0,1051.0,0.0,6.0,60.0,322.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,322.0,1771.0,1.0,56.75,141.5,266.5,1427.0,0.0,0.0,0.0,0.0,0.0,1.0,56.75,141.5,266.5,1427.0,0.0,0.0,0.0,0.050416666675,0.6557142858000001,0.0,0.0,0.0,0.1525,1.8836904762,0.0,0.0,0.0,0.5125,3.5136904762,0.0,33.0,119.5,260.5,1375.0,0.0,37.5,118.0,262.25,1398.5,0.0,0.0,18.5,51.0,287.0,0.0,64.25,206.0,431.75,2227.0,0.0,25.5,94.0,229.25,1216.0,0.0,27.25,95.0,230.75,1220.5,0.0,0.0,0.15500000000000003,0.75,4.8100000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,inactive,1,0,0.0,0.0,12.0,178.0,5351.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.0,0.0,7.0,21.0,110.0,2298.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,110.0,2298.0,0.0,0.0,0.0,0.0,0.21306948930000003,0.0,0.0,0.0,0.0,0.29406350670000003,0.0,0.0,0.0,0.0,5.3390423978,0.0,186.0,1278.0,3527.0,51823.0,0.0,200.0,1298.0,3563.0,52791.5,0.0,80.0,708.0,2762.0,40591.0,0.0,271.0,1580.0,3910.0,58693.0,0.0,137.0,1159.0,3296.0,49096.0,0.0,135.0,1145.0,3274.5,48761.0,0.0,2.0,8.0,14.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,inactive,1,0,0.0,4.5,60.0,164.75,1981.0,0.0,0.0,0.0,0.0,1287.0,0.0,0.25,10.5,64.75,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10.5,64.75,743.0,0.0,7.0,28.0,76.75,801.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,28.0,76.75,801.0,0.0,0.0,0.0,0.0,0.3684210526,0.0,0.0,0.0,0.0,0.4210526316,0.0,0.0,0.0,0.0,0.5789473684,0.0,0.0,187.0,735.0,6282.0,0.0,0.0,200.25,749.0,6389.5,0.0,0.0,129.0,664.0,5694.0,0.0,0.0,255.0,819.0,6973.0,0.0,0.0,182.0,726.5,6194.0,0.0,0.0,196.5,742.375,6309.0,0.0,0.0,0.165,0.9575,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,active,1,0,57.0,1401.5,3699.0,8534.0,194240.0,0.0,122.5,1467.0,6401.75,151473.0,0.0,479.25,1680.0,4077.25,87857.0,0.0,0.0,1.0,42.0,1140.0,0.0,579.25,1898.0,4334.25,93504.0,0.0,502.25,1704.0,3830.75,79886.0,0.0,0.0,0.0,10.5,322.0,0.0,523.75,1769.0,3905.75,81618.0,0.0,0.008720930250000002,0.3384517459,1.6718747672,37.8846355031,0.0,0.283787786725,1.7432513475,5.230300554549999,102.9148929606,0.0,0.945010237275,3.9954567152500005,9.576556345075,180.9742146608,0.0,122.25,696.5,1621.5,31198.0,0.0,73.625,289.0,761.75,15404.0,0.0,10.25,48.0,110.5,2345.0,0.0,804.25,3142.5,7118.0,136263.0,0.0,90.5,549.5,1330.25,25812.0,0.0,40.5,164.0,473.75,10073.5,0.0,0.0,0.065,3.0275000000000007,59.09,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0
134,active,1,0,50.0,1385.0,5907.5,13301.75,276122.0,0.0,30.5,1322.0,24685.25,750787.0,0.0,744.75,2806.5,5813.5,118080.0,0.0,0.0,8.5,150.25,3884.0,0.0,888.5,3133.5,6440.75,130694.0,22.0,735.25,1971.0,3893.25,80674.0,0.0,0.0,15.5,108.0,2148.0,22.0,796.75,2141.5,4153.25,86045.0,0.0,0.0,0.092056034475,0.598685492175,15.335568003700002,0.0,0.011194029825,0.5393000721500001,1.8708684716,42.571019577200005,0.0,0.19680732817500002,1.1398349504,3.619246604825,74.24464931989999,0.0,281.0,1056.0,2187.5,43881.0,0.0,203.5,706.0,1610.25,33537.0,0.0,7.5,33.0,103.5,2578.0,0.0,938.5,3540.0,7741.75,149243.0,0.0,207.5,895.5,1939.25,38800.0,0.0,128.25,546.0,1369.5,28207.5,0.0,0.049999999999999996,0.6200000000000001,2.2625,44.27,0.0,0.0075,0.13,0.48250000000000004,19.439999999999998,0.0,0.055,0.31500000000000006,0.84,16.18
137,inactive,1,0,0.0,0.0,0.0,177.0,1327.0,0.0,0.0,0.0,6.0,50.0,0.0,0.0,0.0,161.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,1231.0,0.0,14.0,33.0,113.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,113.0,718.0,0.0,0.0,0.0,0.0,0.2122736418,0.0,0.0,0.0,0.1408450704,2.0540370428,0.0,0.0,0.0,0.4225352113000001,3.2390342053000003,0.0,42.0,164.0,404.0,2327.0,0.0,42.0,170.0,404.0,2363.5,0.0,13.0,97.0,307.0,1725.0,0.0,70.0,239.0,524.0,3016.0,0.0,38.0,155.0,392.0,2249.0,0.0,40.5,161.5,393.5,2294.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,active,1,0,0.0,110.75,450.0,968.75,20208.0,0.0,0.0,12.5,76.0,14528.0,0.0,14.75,104.5,325.75,7426.0,0.0,0.0,0.0,0.0,62.0,0.0,21.0,113.0,336.75,7687.0,0.0,26.5,92.0,321.0,6888.0,0.0,0.0,0.0,0.25,63.0,0.0,30.25,100.0,330.0,7102.0,0.0,0.0,0.0882352941,2.4523538830750002,51.75448884680001,0.0,0.0,0.63631436315,4.870974933475001,88.3243870529,0.0,0.0,2.52592640895,8.783918090425,154.09272718210002,0.0,61.0,228.5,649.0,15189.0,0.0,41.75,160.0,571.25,13439.0,0.0,6.5,27.0,149.5,5304.0,0.0,202.25,899.5,2040.25,40667.0,0.0,40.75,179.0,512.5,11841.0,0.0,20.5,102.0,391.25,9953.0,0.0,0.0525,0.48000000000000004,1.9625,37.24,0.0,0.0,0.035,1.3575,34.84,0.0,0.0,0.0,0.0,0.0
139,active,1,0,57.0,1189.5,3143.5,6995.75,159948.0,0.0,29.25,361.0,1960.25,48987.0,7.0,190.5,763.5,2221.75,51952.0,0.0,0.0,0.0,0.0,6.0,8.0,191.5,764.5,2223.75,52001.0,0.0,280.25,916.5,2243.75,52218.0,0.0,0.0,0.0,0.0,3.0,0.0,280.25,916.5,2244.75,52229.0,0.0,0.0,0.0214686309,0.52583677625,15.633927328499999,0.0,0.0,0.28755476495,1.7502757775250002,37.443295471400006,0.0,0.23625250410000004,1.7950852142500002,6.011027049874999,111.46610674919998,0.0,321.25,1035.0,1985.25,40432.0,0.0,221.0,738.0,1524.0,31252.0,0.0,17.5,100.0,244.75,5624.0,0.0,846.0,2826.5,6254.5,123009.0,0.0,175.0,598.5,1236.5,25760.0,0.0,75.5,261.5,608.5,14064.0,0.0,0.017499999999999998,0.6300000000000001,5.1875,92.66000000000001,0.0,0.0275,0.195,0.8575000000000002,25.200000000000003,0.0,0.0,0.16,2.4475000000000002,54.58
140,inactive,1,0,0.0,171.75,428.5,769.75,2052.0,0.0,1.5,9.5,22.25,57.0,0.0,0.0,20.5,59.75,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,59.75,157.0,0.0,13.5,35.5,62.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,35.5,62.0,160.0,0.0,0.0,0.13333333335,0.3916666667,1.0333333333999999,0.0,0.0,0.30000000000000004,0.8500000000000001,2.2,0.0,0.650000000025,1.35000000005,2.0833333334,5.5333333335,0.0,14.25,32.5,56.5,153.0,0.0,16.125,35.0,59.0,160.5,0.0,7.5,15.5,25.25,69.0,0.0,18.75,50.0,92.5,245.0,0.0,6.0,15.0,29.5,82.0,0.0,6.0,14.0,26.75,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,inactive,1,0,47.0,328.0,661.0,1224.0,4458.0,0.0,0.0,0.0,0.0,117.0,0.0,226.0,486.0,954.0,3336.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,486.0,954.0,3336.0,0.0,200.0,421.0,798.0,2720.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,421.0,798.0,2720.0,0.0,0.4625,1.0328125,1.8131593208,6.1216311416,0.0,0.4625,1.33359375,2.2295475072,7.2551887644,0.0,0.5,1.4075144509,2.3215769509,7.5506683527,0.0,7.0,23.0,49.0,162.0,0.0,7.5,16.5,39.5,133.0,0.0,3.0,8.0,18.0,60.0,0.0,22.0,73.0,157.0,498.0,0.0,1.0,10.0,19.0,70.0,0.0,1.0,5.0,10.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,active,1,0,0.0,68.75,636.0,3510.5,78806.0,0.0,0.0,360.0,3654.0,84601.0,0.0,0.0,0.0,22.5,1960.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,50.5,2647.0,0.0,5.5,44.0,137.5,3077.0,0.0,0.0,0.0,4.5,203.0,0.0,10.25,56.0,181.5,3801.0,0.0,0.0,0.0,0.0,0.0833333333,0.0,0.0,0.0,0.0,0.4999999999000001,0.0,0.0,0.0,0.0,2.9999999999000004,0.0,0.0,0.0,1116.5,27388.0,0.0,0.0,0.0,1081.5,27236.0,0.0,0.0,0.0,533.25,16054.0,0.0,0.0,0.0,1568.5,36629.0,0.0,0.0,0.0,708.25,16787.0,0.0,0.0,0.0,660.75,16054.0,0.0,0.0,0.41500000000000004,3.545,66.46000000000001,0.0,0.0,0.0,2.74,60.79,0.0,0.0,0.0,0.0,0.0
143,active,1,0,70.0,4580.75,11497.0,27135.75,596554.0,0.0,0.0,361.0,1917.5,69876.0,0.0,258.25,2199.5,8220.5,170122.0,0.0,0.0,2.0,117.75,6614.0,0.0,366.25,2469.0,8742.0,192175.0,0.0,1033.5,4531.0,10618.25,211437.0,0.0,0.0,138.5,667.25,15228.0,0.0,1224.75,4888.5,11480.75,233547.0,0.0,0.0025951557,0.23375731035000002,1.5423661136,33.9136846384,0.0,0.0821458976,0.6951846741000001,3.2378262541750003,63.40566106440001,0.0,0.35365812065,2.68292037375,7.042920898649999,132.53961298389999,0.0,330.25,966.5,2024.25,43583.0,0.0,261.0,657.0,1621.5,35436.0,0.0,16.0,64.5,162.75,3410.0,0.0,990.25,3586.0,7512.0,147814.0,0.0,146.0,589.0,1411.75,30935.0,0.0,68.75,273.5,896.5,20466.0,0.0,0.0,0.05,1.6175,35.03,0.0,0.0,0.405,2.18,44.0,0.0,0.0,0.0,0.275,19.18
144,inactive,1,0,61.0,436.0,1490.0,2807.0,16249.0,0.0,13.0,57.0,305.0,4686.0,0.0,31.0,455.0,1469.0,7874.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,455.0,1469.0,7874.0,0.0,37.0,541.0,1463.0,7782.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,541.0,1463.0,7782.0,0.0,0.0,0.4301412872,1.5638685853,8.4309063926,0.0,0.0,1.0470088799000001,2.508079724,13.3440361261,0.0,0.6437659032999999,2.3705634502999997,4.2661079445,23.5065302656,0.0,29.0,62.0,119.0,746.0,0.0,24.0,51.0,82.0,576.0,0.0,1.0,5.0,16.0,103.0,0.0,91.0,257.0,507.0,2955.0,0.0,17.0,40.0,87.0,554.0,0.0,8.0,22.0,46.0,345.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,active,1,0,130.0,6064.25,14368.5,25702.0,531338.0,0.0,236.5,10847.0,46361.0,934833.0,0.0,3247.5,8463.5,15843.25,324693.0,0.0,0.0,0.0,1.25,234.0,0.0,3248.5,8484.0,15891.25,325603.0,63.0,3285.0,8248.5,14476.0,298467.0,0.0,0.0,0.0,2.25,209.0,63.0,3287.0,8253.5,14524.0,299109.0,0.0,0.2667532252,1.1741008098999999,2.907454958825,57.76023854285,0.0,0.97629693,2.7752555245500004,5.594602442075,112.9057718446,0.0,2.12964055205,5.5176301899,10.132762503425,205.72152257020005,0.0,221.75,772.5,1570.5,31615.0,0.0,147.5,409.5,812.25,17402.5,0.0,0.0,2.5,32.5,648.0,0.0,940.5,3489.0,7680.0,148364.0,0.0,170.0,640.0,1309.0,26064.0,0.0,77.75,249.5,546.25,11754.0,0.01,0.14250000000000002,0.6300000000000001,3.1425,60.28,0.01,0.22000000000000006,0.7749999999999999,1.94,47.21000000000001,0.0,0.0725,0.48,1.2225,24.08
146,inactive,1,0,11.0,388.5,1246.0,2748.0,30831.0,0.0,2.5,100.5,273.75,3049.0,0.0,125.25,354.5,892.0,10137.0,0.0,0.0,0.0,0.0,7.0,0.0,126.75,358.5,896.0,10191.0,0.0,92.5,266.0,641.75,7854.0,0.0,0.0,0.0,0.0,7.0,0.0,92.75,269.0,644.75,7895.0,0.0,0.0,0.0,0.146236116775,3.2108181697,0.0,0.0,0.0944976077,1.3600024611750001,13.5951491633,0.0,0.0,0.6175977561000001,2.5251081373,28.123306493,0.0,84.0,267.0,646.25,7365.0,0.0,74.25,229.5,479.875,6055.0,0.0,10.5,41.5,126.25,2109.0,0.0,193.25,761.5,1589.5,18057.0,0.0,65.25,213.0,539.75,6211.0,0.0,54.75,181.5,377.5,5015.5,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,inactive,1,0,65.0,640.0,1552.0,3261.5,22829.0,0.0,11.5,50.0,281.0,4097.0,0.0,313.5,756.0,1874.5,14169.0,0.0,0.0,0.0,0.0,0.0,0.0,313.5,756.0,1874.5,14169.0,0.0,296.5,758.0,1930.0,13837.0,0.0,0.0,0.0,0.0,0.0,0.0,296.5,758.0,1930.0,13837.0,0.0,0.022881880049999997,0.9382444388,2.6074224042000003,16.5056539747,0.0,0.07490723560000001,1.3567022132000002,3.5159025212000006,22.058977436,0.0,0.3513186096,2.4603796511000002,4.813233866550001,31.3193697349,0.0,47.5,120.0,216.5,1828.0,0.0,37.0,109.0,203.75,1790.5,0.0,8.5,24.0,61.5,463.0,0.0,112.5,333.0,734.0,5108.0,0.0,17.0,38.0,95.0,990.0,0.0,10.0,26.0,67.5,890.0,0.0,0.0,0.0,0.035,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,inactive,1,0,0.0,172.5,437.0,830.5,3807.0,0.0,0.0,1.0,16.5,100.0,0.0,89.0,233.0,405.5,1869.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,233.0,405.5,1869.0,0.0,64.5,140.0,301.5,1404.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,140.0,301.5,1404.0,0.0,0.26704545455,1.1367399157,2.19465668495,9.3788466812,0.0,0.32386363635000004,1.3497140277000002,2.50429418035,10.7729685102,0.0,1.1107261641,2.4754255776000003,3.9448912265000002,18.0315515853,0.0,18.5,41.0,68.5,346.0,0.0,12.0,29.0,50.5,245.0,0.0,5.0,12.0,21.0,110.0,0.0,44.0,108.0,225.5,1078.0,0.0,9.5,22.0,39.5,212.0,0.0,5.0,12.0,20.0,113.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,inactive,1,0,8.0,44.5,112.0,242.5,1120.0,0.0,530.0,1461.0,2912.5,13279.0,0.0,0.0,0.0,42.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,247.0,0.0,1.5,10.0,60.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,10.0,60.0,256.0,0.0,0.0,0.0,0.23958333330000003,1.6022727272000001,0.0,0.0,0.0,0.5659722222,3.0416666666000003,0.0,0.0,0.0,0.9340277777999999,4.2083333334,0.0,5.0,30.0,109.5,505.0,0.0,4.75,23.5,112.0,505.5,0.0,1.0,5.0,26.0,164.0,0.0,8.0,64.0,185.0,828.0,0.0,3.5,21.0,84.5,407.0,0.0,3.25,17.0,77.0,381.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,active,1,0,27.0,324.5,1027.5,2672.0,77033.0,2.0,188.5,1348.0,10389.5,205861.0,0.0,178.25,735.0,1954.75,47148.0,0.0,0.0,0.0,0.0,29.0,0.0,178.25,736.5,1956.75,47215.0,0.0,165.5,559.5,1438.25,32576.0,0.0,0.0,0.0,0.0,10.0,0.0,166.5,560.5,1439.25,32624.0,0.0,0.0,0.12469377755,1.6883229559750002,40.0455739594,0.0,0.0,0.25396574525000004,3.0760333278250003,61.7418510263,0.0,0.0,1.62466249545,6.801318112325,121.6058738408,0.0,53.0,279.0,909.0,20829.0,0.0,36.75,193.5,644.5,16357.0,0.0,8.5,42.0,191.25,8332.0,0.0,280.5,1419.0,3670.5,71244.0,0.0,32.0,217.5,769.0,17882.0,0.0,20.5,131.0,500.5,13421.0,0.0,0.0,0.04,0.4475,9.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,inactive,1,0,0.0,0.0,0.0,217.0,17239.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,101.75,2596.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.75,2599.0,0.0,0.0,3.5,65.0,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,65.0,1408.0,0.0,0.0,0.0,0.0,1.4152608070000001,0.0,0.0,0.0,0.125000000025,9.1260051427,0.0,0.0,0.0,0.8333333333,17.3693840579,0.0,0.0,11.0,183.5,3509.0,0.0,0.0,4.5,135.0,2702.5,0.0,0.0,3.5,76.5,1731.0,0.0,0.0,11.5,407.0,7064.0,0.0,0.0,7.0,147.25,3042.0,0.0,0.0,2.5,89.625,2158.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,active,1,0,22.0,760.5,2615.0,5904.75,121954.0,0.0,0.0,0.0,12.0,916.0,0.0,9.75,106.5,435.0,12600.0,0.0,0.0,0.0,0.0,6.0,0.0,13.75,110.5,439.0,12702.0,0.0,21.25,137.5,406.25,11731.0,0.0,0.0,0.0,0.0,6.0,0.0,21.25,139.5,409.25,11779.0,0.0,0.0,0.0,2.7345367361,54.56072647610001,0.0,0.0,0.1,4.611933958374999,83.103357042,0.0,0.0,0.54873949585,5.562342594025,100.70543496660001,0.0,3.75,123.5,774.75,15772.0,0.0,3.0,74.0,438.75,10929.5,0.0,0.75,13.5,79.0,3688.0,0.0,4.5,409.0,2004.0,38460.0,0.0,0.75,65.0,653.0,13135.0,0.0,0.75,28.0,322.0,8415.5,0.0,0.0,0.015,0.9200000000000002,37.45,0.0,0.0,0.175,2.5675000000000003,61.45,0.0,0.0,0.0,0.0,0.0
153,active,1,0,0.0,0.0,720.5,2913.75,58475.0,0.0,0.0,0.0,16.5,1936.0,0.0,0.0,0.0,19.5,3070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,3070.0,0.0,0.0,6.0,58.0,2529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,58.0,2529.0,0.0,0.0,0.0,0.0,1.6003198292000003,0.0,0.0,0.0,0.0,3.7787996828,0.0,0.0,0.0,0.0,15.824974832099999,0.0,0.0,0.0,514.0,14066.0,0.0,0.0,0.0,410.75,12663.5,0.0,0.0,0.0,242.25,8748.0,0.0,0.0,0.0,849.75,20882.0,0.0,0.0,0.0,176.25,7340.0,0.0,0.0,0.0,131.0,6804.5,0.0,0.0,0.0,0.0225,4.56,0.0,0.0,0.04,0.9725000000000001,19.3,0.0,0.0,0.0,0.0,0.0
154,active,1,0,30.0,2890.25,7525.0,15963.25,358615.0,0.0,91.5,1155.0,5681.75,164247.0,0.0,140.25,906.0,2418.5,47111.0,0.0,0.0,0.0,0.25,55.0,0.0,150.75,921.5,2436.5,47543.0,0.0,216.0,732.5,1799.75,37465.0,0.0,0.0,0.0,0.0,16.0,0.0,221.0,738.5,1805.75,37615.0,0.0,0.0,0.26675406095000004,1.714911097975,38.11655421275,0.0,0.09140565765,1.66263778585,4.7597677951,92.04194007980001,0.0,0.46892559429999997,3.59420553085,8.877712450425001,166.2774340847,0.0,169.75,540.5,1072.25,22636.0,0.0,149.25,419.25,881.75,19234.5,0.0,22.25,65.0,154.25,3879.0,0.0,524.25,1638.0,3215.5,65314.0,0.0,77.75,297.0,650.0,14034.0,0.0,48.625,193.5,481.5,11184.5,0.0,0.0,0.0,5.137499999999999,89.27000000000001,0.0,0.49,2.5300000000000002,9.540000000000001,168.84000000000003,0.0,0.0,0.0,0.0125,1.63
