,is_active,brand,piracy,A_true,A_true,A_true,A_true,A_true,A_false,A_false,A_false,A_false,A_false,internal_B_true,internal_B_true,internal_B_true,internal_B_true,internal_B_true,external_B_true,external_B_true,external_B_true,external_B_true,external_B_true,B_true,B_true,B_true,B_true,B_true,internal_C_true,internal_C_true,internal_C_true,internal_C_true,internal_C_true,external_C_true,external_C_true,external_C_true,external_C_true,external_C_true,C_true,C_true,C_true,C_true,C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,automatization_A,automatization_A,automatization_A,automatization_A,automatization_A,automatization_B,automatization_B,automatization_B,automatization_B,automatization_B,automatization_C,automatization_C,automatization_C,automatization_C,automatization_C
,unique,unique,unique,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4
contractid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,active,1,0,240.0,3516.0,8984.0,17898.0,381545.0,0.0,171.0,667.0,2192.0,47640.0,0.0,89.0,2784.0,8496.0,176513.0,0.0,0.0,0.0,0.0,48.0,0.0,100.0,2795.0,8517.0,176966.0,0.0,257.0,2455.0,8532.0,168686.0,0.0,0.0,0.0,0.0,37.0,0.0,270.0,2474.0,8551.0,169174.0,0.0,0.10556669005,1.6441655391999999,5.401488551800001,103.92947134645,0.0,0.2856289777,2.9856735035999997,7.8376067718,150.21840796819998,0.0,1.2343996940000002,5.3950325907000005,11.3812859914,224.04180819569999,0.0,110.0,433.0,992.0,21178.0,0.0,49.0,204.0,484.0,11742.0,0.0,0.0,8.0,22.0,1531.0,0.0,708.0,2484.0,5576.0,112304.0,0.0,73.0,331.0,845.0,18146.0,0.0,14.0,80.0,318.0,8257.5,0.0,0.0,0.0,0.25,7.499999999999999,0.0,0.0,0.01,0.6,15.74,0.0,0.0,0.0,0.0,3.71
29,active,1,0,429.0,5481.0,13482.0,28253.0,667235.0,0.0,201.0,609.0,1499.0,34963.0,0.0,1418.0,4550.0,9913.0,220310.0,0.0,0.0,4.0,148.0,4108.0,0.0,1510.0,4737.0,10277.0,229734.0,0.0,1257.0,3979.0,8445.0,183098.0,0.0,0.0,10.0,133.0,3861.0,0.0,1324.0,4199.0,8811.0,191945.0,0.0,0.4355438627,2.5473773165000004,6.005185671900001,122.23065102410003,0.0,2.050045054,6.250330097100001,12.058907823100002,244.23975032060002,0.1094147583,4.0082260677,9.893433923800002,17.0360073334,355.2369136025,5.0,119.0,320.0,656.0,14607.0,5.0,70.0,194.0,406.0,8911.0,0.0,5.0,16.0,50.0,1128.0,7.0,643.0,1993.0,4864.0,97940.0,4.0,87.0,222.0,464.0,10575.0,2.0,39.0,115.0,234.0,5336.0,0.0,0.13,0.56,3.4799999999999995,77.17,0.0,0.01,0.22000000000000003,2.84,63.7,0.0,0.0,0.0,0.0,0.03
30,inactive,1,0,0.0,0.0,0.0,685.5,4517.0,0.0,0.0,0.0,46.5,1132.0,0.0,0.0,0.0,3.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,442.0,0.0,0.0,6.0,33.5,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.5,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5952380952,0.0,0.0,0.0,0.0,2.7857142858,0.0,58.0,229.0,596.5,3696.0,0.0,54.75,225.25,593.0,3643.5,0.0,49.75,201.5,565.5,3470.0,0.0,79.25,341.0,717.5,4517.0,0.0,14.5,141.5,450.75,2739.0,0.0,11.5,140.75,449.25,2705.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,inactive,1,0,328.0,2970.0,6707.0,12055.5,207113.0,0.0,45.0,452.0,1328.5,25397.0,0.0,879.0,2608.0,5224.5,79944.0,0.0,0.0,5.0,75.0,1673.0,0.0,999.5,2919.0,5662.0,86645.0,0.0,926.5,2772.0,5381.5,79395.0,0.0,0.0,1.0,47.5,1044.0,0.0,980.0,2989.0,5639.5,83314.0,0.0,0.36031101955,2.6149111995000003,6.3896766408,84.6060655258,0.0,1.0935429422,4.3021229399,8.764968912899999,120.1169970908,0.0,2.39547102395,6.773846220299999,11.83986668535,169.0166765547,5.0,127.5,310.0,575.5,8942.0,6.0,70.0,196.0,386.5,5862.0,0.0,5.5,13.0,28.5,591.0,6.0,567.5,1993.0,4280.0,60475.0,5.0,61.0,146.0,301.0,5042.0,0.0,13.0,41.0,120.5,1935.5,0.01,0.19999999999999998,0.65,1.335,21.89,0.0,0.0,0.0,0.0,0.060000000000000005,0.0,0.4,1.35,2.6700000000000004,38.88
32,inactive,1,0,0.0,113.25,290.0,612.75,4779.0,0.0,0.0,7.5,38.75,627.0,0.0,12.75,90.0,275.5,2103.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,90.0,275.5,2103.0,0.0,1.5,16.5,70.5,707.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,16.5,70.5,707.0,0.0,0.0,0.0,0.08024691357500001,2.7486772487,0.0,0.0,0.0,0.43350754935,5.475738804900001,0.0,0.0,0.29065040649999996,2.397683034375,16.117445261900002,0.0,32.25,127.0,412.25,3160.0,0.0,18.5,91.5,404.0,3008.5,0.0,13.0,51.5,141.5,1505.0,0.0,73.0,341.0,759.0,5634.0,0.0,18.5,69.0,318.5,2519.0,0.0,9.5,48.0,309.25,2414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08000000000000002,0.9600000000000001,0.0,0.0,0.0,0.0,0.0
33,inactive,1,0,631.0,4465.75,9951.5,16403.0,129266.0,0.0,30.75,106.5,373.75,5393.0,0.0,1748.75,5417.0,10098.25,78612.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.75,5417.0,10098.25,78612.0,0.0,1684.0,5437.0,10171.0,78526.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.0,5437.0,10171.0,78526.0,0.0,0.300695824975,1.4226692096000002,2.871798885775,21.5441459848,0.0,0.840469554825,2.5586468596499996,4.7276379046,35.5000533048,0.0,1.5200174210500002,3.65149116405,6.253631994749999,47.907350618399995,0.0,24.25,62.0,135.25,1056.0,0.0,20.0,46.0,93.0,743.0,0.0,0.0,2.5,5.5,58.0,0.0,106.0,340.0,659.25,5252.0,0.0,15.75,43.5,94.5,753.0,0.0,9.75,30.5,58.25,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024999999999999998,0.275,1.13,8.56,0.0,0.0,0.0,0.0,0.0
34,active,1,0,194.0,3831.0,9135.0,17818.0,391975.0,0.0,107.0,573.0,2939.0,64340.0,0.0,1375.0,5261.0,11047.0,229382.0,0.0,0.0,0.0,64.0,3302.0,0.0,1426.0,5423.0,11327.0,238418.0,0.0,1035.0,3364.0,7557.0,171751.0,0.0,0.0,6.0,79.0,2615.0,0.0,1101.0,3496.0,7765.0,179430.0,0.0,0.31739648285,2.39622669185,6.273736825049999,125.06546420025,0.0,0.8838946633,4.4994231136,10.101523631500001,196.1532738212,0.0,1.264041291,6.528223987899999,13.474517021699997,259.797542837,0.0,84.0,264.0,583.0,14483.0,0.0,49.0,183.0,476.0,12275.0,0.0,3.0,11.0,26.0,2401.0,0.0,402.0,1493.0,3641.0,75090.0,0.0,49.0,178.0,420.0,11164.0,0.0,18.0,81.5,305.5,8616.5,0.0,0.0,0.0,0.19,5.210000000000001,0.0,0.0,0.0,0.06,7.119999999999999,0.0,0.11,0.61,3.64,74.36999999999999
35,active,1,0,89.0,1620.0,4359.0,10103.0,218431.0,0.0,150.0,687.0,2732.0,59882.0,0.0,371.0,1649.0,5348.0,103374.0,0.0,0.0,0.0,0.0,1.0,0.0,372.0,1650.0,5349.0,103406.0,0.0,438.0,1829.0,4619.0,93318.0,0.0,0.0,0.0,0.0,1.0,0.0,438.0,1830.0,4620.0,93336.0,0.0,0.13532103325,2.01291763715,5.29673215675,102.90694019509999,0.0,0.6431058543000001,3.8646433113,9.049715234899999,175.0101960589,0.0,1.9183103138000002,6.6025742782000005,13.484661591600002,266.8651456287,0.0,106.0,349.0,730.0,15677.0,0.0,56.5,220.5,554.5,11786.0,0.0,0.0,10.0,37.0,993.0,0.0,382.0,1198.0,2937.0,62028.0,0.0,65.0,197.0,471.0,10070.0,0.0,27.0,114.0,310.5,6789.5,0.0,0.0,0.0,0.88,25.470000000000002,0.0,0.0,0.0,0.0,9.36,0.0,0.0,0.06,0.53,20.700000000000003
36,inactive,1,0,132.0,333.0,628.0,1068.0,3804.0,0.0,0.0,1.0,2.0,12.0,0.0,88.0,190.0,342.0,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,190.0,342.0,1251.0,0.0,59.0,159.0,291.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,159.0,291.0,1062.0,0.2646239554,0.7824810983000001,1.3084070242,2.0188317346,7.3931755471,0.4094707521,0.9630421807,1.6519310696,2.474324892,8.9730937864,0.7851851851999999,1.5708994708999997,2.4984760726,3.4405610147,12.7356827581,1.0,11.0,28.0,48.0,159.0,1.0,7.0,15.0,28.0,99.0,1.0,2.0,4.0,6.0,22.0,3.0,39.0,91.0,169.0,577.0,1.0,9.0,24.0,41.0,136.0,1.0,4.0,9.0,16.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
38,inactive,1,0,8.0,86.75,277.0,561.0,6527.0,0.0,0.0,1.5,6.5,106.0,0.0,17.75,163.0,364.25,3958.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,163.0,364.25,3958.0,0.0,22.25,101.0,244.25,2927.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,101.0,244.25,2927.0,0.0,0.0,0.0,0.572184478,8.949978338400001,0.0,0.0,0.058823529400000005,0.8929253323,12.025343984500001,0.0,0.0,0.3255012531,2.4867349807,26.621841951800004,0.0,15.0,112.5,300.5,4069.0,0.0,9.0,72.0,247.75,3150.5,0.0,3.75,18.5,61.5,1022.0,0.0,30.75,297.5,859.75,10267.0,0.0,1.5,74.0,235.5,3300.0,0.0,0.25,35.5,178.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08499999999999999,0.42500000000000004,4.86,0.0,0.0,0.0,0.0,0.0
